ChEMBL ID,Name,SMILES
CHEMBL1256815,PRADOFLOXACIN,N#Cc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
CHEMBL5095023,LS-104,N#C/C(=C\C=C\c1ccc(O)c(O)c1)C(=O)NCc1ccccc1
CHEMBL3935857,SERABELISIB,Nc1nc2cc(-c3ccc4ncc(C(=O)N5CCOCC5)n4c3)ccc2o1
CHEMBL1204187,GEPIRONE HYDROCHLORIDE,CC1(C)CC(=O)N(CCCCN2CCN(c3ncccn3)CC2)C(=O)C1.Cl
CHEMBL123292,CYCLOHEXIMIDE,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1
CHEMBL2105131,MEFRUSIDE,CN(CC1(C)CCCO1)S(=O)(=O)c1ccc(Cl)c(S(N)(=O)=O)c1
CHEMBL930,GLUTAMINE,NC(=O)CC[C@H](N)C(=O)O
CHEMBL356388,ETAZOLATE,CCOC(=O)c1cnc2c(cnn2CC)c1NN=C(C)C
CHEMBL2106424,MECRYLATE,C=C(C#N)C(=O)OC
CHEMBL1528839,PHENFORMIN HYDROCHLORIDE,Cl.N=C(N)NC(=N)NCCc1ccccc1
CHEMBL1200464,PROPARACAINE HYDROCHLORIDE,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N.Cl
CHEMBL452461,PERZINFOTEL,O=c1c2c(c1=O)N(CCP(=O)(O)O)CCCN2
CHEMBL2104781,RECAINAM HYDROCHLORIDE,Cc1cccc(C)c1NC(=O)NCCCNC(C)C.Cl
CHEMBL3989746,FENPRINAST HYDROCHLORIDE,CC1(C)CN2C(=O)c3[nH]cnc3N(Cc3ccc(Cl)cc3)C2=N1.Cl.O
CHEMBL2103992,BENORTERONE,C[C@]12CCC(=O)C=C1C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
CHEMBL2078910,MEPIPERPHENIDOL,CC(C)C(c1ccccc1)C(O)CC[N+]1(C)CCCCC1
CHEMBL1817922,Swerilactone O,CC(=O)/C=C/c1cccc2c1CCOC2=O
CHEMBL2110601,AMIQUINSIN,COc1cc2nccc(N)c2cc1OC
CHEMBL187795,THIOPHOSPHORIC ACID DECYL ESTER,CCCCCCCCCCOP(O)(O)=S
CHEMBL2107670,CALCIUM LACTOPHOSPHATE,CC(O)C(=O)OP(=O)([O-])[O-].[Ca+2]
CHEMBL2106883,MENADIOL SODIUM SULFATE,Cc1cc(OS(=O)(=O)[O-])c2ccccc2c1OS(=O)(=O)[O-].[Na+].[Na+]
CHEMBL2106371,LEVAMFETAMINE SUCCINATE,C[C@@H](N)Cc1ccccc1.O=C(O)CCC(=O)O
