Chemical Name,SMILES,Binding
Amygdalin,N#CC(O[C@@H]2O[C@@H]([C@H]([C@@H]([C@H]2O)O)O)CO[C@@H]3O[C@@H]([C@H]([C@@H]([C@H]3O)O)O)CO)c1ccccc1,No
alpha-D-Galactose 1-phosphate dipotassium salt pentahydrate,O=P([O-])(OC1O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]1O)[O-].[K+].[K+].O.O.O.O.O,No
N-Acetyl-D-galactosamine,N([C@@H]1[C@H]([C@H]([C@H](OC1O)CO)O)O)C(=O)C,No
N-Acetyl-D-glucosamine,N([C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O)C(=O)C,No
L-(+)-Arabinose,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O,No
D-Lyxose,C1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O,No
D-(-)-Arabinose,O1C([C@H]([C@@H]([C@@H](C1)O)O)O)O,No
D-(+)-Xylose,O1C([C@@H]([C@H]([C@@H](C1)O)O)O)O,No
Glycerol phosphate calcium salt,[CaH2].[P](=O)(OC(CO)CO)(O)O,No
Lactobionic acid,O1[C@H]([C@@H]([C@H]([C@H]([C@H]1CO)O)O)O)O[C@@H]([C@H](O)[C@@H](O)C(=O)O)[C@H](O)CO,No
D-Sorbitol 6-phosphate barium salt,[Ba+2].[P](=O)([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO,No
Mannide monooleate,O1[C@@H]([C@@H]([C@H](C1)O)O)[C@H](O)COC(=O)CCCCCCC\C=C/CCCCCCCC,No
"N-Acetyl-2,3-dehydro-2-deoxyneuraminic acid",N([C@H]1[C@@H](OC(=C[C@@H]1O)C(=O)O)[C@H](O)[C@H](O)CO)C(=O)C,No
sn-Glycerol 3-phosphate bis(cyclohexylammonium) salt,[P](=O)(OC[C@H](O)CO)(O)O.NC2CCCCC2.NC1CCCCC1,No
"2,3,5-Tri-O-benzyl-beta-D-arabinofuranose",OC1O[C@H](COCc2ccccc2)[C@@H](OCc3ccccc3)[C@@H]1OCc4ccccc4,No
Phthaldialdehyde,O=Cc1c(cccc1)C=O,No
2-Keto-D-gluconic acid hemicalcium salt hydrate,[Ca+2].[O-]C(=O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO.O,No
N-Acetylmuramic acid,N([C@H]([C@@H](O[C@H](C)C(=O)O)[C@H](O)[C@H](O)CO)C=O)C(=O)C,No
D-Xylonic acid lithium salt,O[C@@H]([C@H](O)CO)[C@@H](O)C(=O)O,No
"3,5-dideoxy-5-(glycoloylamino)-D-glycero-beta-D-galacto-non-2-ulopyranosonic acid",N([C@H]1[C@@H](O[C@](C[C@@H]1O)(O)C(=O)O)[C@H](O)[C@H](O)CO)C(=O)CO,No
2-Deoxyribose 5-phosphate sodium salt,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)C1,No
"2,3-dihydroxypropyl dihydrogen phosphate",[P](=O)(OCC(O)CO)(O)O,No
2-Deoxy-D-ribonic acid lithium salt,O[C@@H]([C@@H](O)CC(=O)O)CO,No
N-Acetyl-alpha-D-glucosamine 1-phosphate disodium salt,CC(N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O)=O,No
beta-Glycerophosphate disodium salt hydrate,[Na+].[Na+].[P](=O)([O-])([O-])OC(CO)CO.O,No
Biotin,S1[C@H]([C@H]2NC(=O)N[C@H]2C1)CCCCC(=O)O,No
DL-Glyceric acid hemicalcium salt hydrate,[Ca+2].[O-]C(=O)C(O)CO.[O-]C(=O)C(O)CO.O.O,No
alpha-D-Mannose pentaacetate,CC(OC[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H](OC(C)=O)C(OC(C)=O)O1)=O,No
Sucrose 6'-monophosphate dipotassium salt,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)COP(=O)([O-])[O-])O)O)CO)O)O)O)O.[K+].[K+],No
Sodium thioglycolate,[Na+].SCC(=O)[O-],No
D-Galacturonic acid sodium salt,[Na+].[O-]C(=O)[C@H]1OC([C@@H]([C@H]([C@H]1O)O)O)O,No
"D-Fructose 1,6-bisphosphate trisodium salt hydrate",C([C@@H]1[C@H]([C@@H](C(O1)(COP(=O)(O)O)O)O)O)OP(=O)(O)O,No
Paeoniflorin,O1[C@H]([C@@H]([C@H]([C@@H]([C@H]1CO)O)O)O)O[C@@]32[C@]4(O[C@@H]5O[C@@]([C@@H]([C@@]53COC(=O)c6ccccc6)C2)(C4)O)C,No
Digalacturonic acid,[C@@H]1([C@H]([C@H](O[C@@H]([C@@H]1O)O[C@@H]2[C@@H]([C@H](C(O[C@@H]2C(=O)O)O)O)O)C(=O)O)O)O,No
N-Acetylneuraminic acid,N([C@H]1[C@@H](O[C@](C[C@@H]1O)(O)C(=O)O)[C@H](O)[C@H](O)CO)C(=O)C,No
DL-alpha-Glycerol phosphate magnesium salt hydrate,[Mg+2].[P](=O)([O-])([O-])OCC(O)CO.O,No
p-Acetamidophenyl beta-D-glucuronide sodium salt,CC(Nc1ccc(OC2[C@@H]([C@H]([C@@H]([C@H](O2)C([O-])=O)O)O)O)cc1)=O.[Na+],No
Thioglycolic acid solution,SCC(=O)O,No
D-Glucosamine 6-phosphate,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)OP(=O)(O)O,No
"alpha-D-Glucose 1,6-bisphosphate potassium salt hydrate",[O-]P([O-])(OC[C@@H](OC1OP([O-])([O-])=O)[C@H]([C@@H]([C@H]1O)O)O)=O.[K+].[K+].[K+].[K+],No
D-Fructose 6-phosphate dipotassium salt,[K+].[K+].[P](=O)([O-])([O-])OC[C@H]1OC([C@H]([C@@H]1O)O)(O)CO,No
N-Acetyl-D-glucosamine 6-sulfate sodium salt,[Na+].[S](=O)(=O)([O-])OC[C@H]1OC([C@@H]([C@H]([C@@H]1O)O)NC(=O)C)O,No
"D-Saccharic acid 1,4-lactone monohydrate",O1[C@@H]([C@@H]([C@H](C1=O)O)O)[C@H](O)C(=O)O.O,No
Sodium gluconate,[Na+].[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,No
alpha-D-Glucoheptonic acid sodium salt,[Na+].[O-]C(=O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,No
D-Glucuronic acid,O=C(O)[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)C(O)O1,No
Calcium D-gluconate,[Ca+2].[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,No
Calcium D-gluconate monohydrate,[Ca+2].[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O,No
Magnesium D-gluconate hydrate,[Mg+2].[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O,No
2'-Hydroxy-4'-methoxyacetophenone,O(C)c1cc(c(cc1)C(=O)C)O,No
Sodium L-lactate,[Na+].[O-]C(=O)[C@@H](O)C,No
D-Arabinonic acid sodium salt,[Na+].[O-]C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,No
D-Mannose 6-phosphate disodium salt hydrate,[Na+].[Na+].[P](=O)([O-])([O-])OC[C@H]1OC([C@H]([C@H]([C@@H]1O)O)O)O.O,No
D-Mannose 6-phosphate sodium salt,OC(O1)[C@@H](O)[C@@H](O)[C@H](O)[C@H]1COP(O)([O-])=O.[Na+],No
D-Arabinose 5-phosphate disodium salt,C([C@@H]1[C@H]([C@@H](C(O1)O)O)O)OP(=O)([O-])[O-].[Na+].[Na+],No
5-Keto-D-gluconic acid potassium salt,[K+].[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)C(=O)CO,No
Sodium salicylate,[Na+].[O-]C(=O)c1c(cccc1)O,No
D-Glucose 6-phosphate sodium salt,OP(OC[C@@H]1[C@H]([C@@H]([C@H](C(O)O1)O)O)O)([O-])=O,No
D-(-)-Lactic acid,O[C@H](C)C(=O)O,No
DL-Lactic acid,OC(C)C(=O)O,No
D-(-)-3-Phosphoglyceric acid disodium salt,[Na+].[Na+].[P](=O)([O-])(OC[C@@H](O)C(=O)[O-])O,No
6-Phosphogluconic acid trisodium salt,[Na+].[Na+].[Na+].[P](=O)([O-])([O-])OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-],No
D-Saccharic acid potassium salt,[K+].[O-]C(=O)[C@H](O)[C@H](O)[C@@H](O)[C@H](O)C(=O)O,No
6-deoxy-l-galactonic acid sodium salt,[Na+].[O-]C(=O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C,No
